assemblyΩ1_3	UniRef100_E6SNZ3~K03088	59.0	183	74	1	1	182	1	183	1.0e-52	211.5
assemblyΩ1_5	UniRef100_A0A0H4VLB0~K21573	30.5	1031	632	24	107	1080	19	1021	1.4e-117	429.5
assemblyΩ1_6	UniRef100_F4C9B6~K21572	63.5	548	189	4	1	539	1	546	3.4e-200	703.0
assemblyΩ1_9	UniRef100_Q8A7W6~K08676	47.2	1105	550	16	1	1082	1	1095	8.1e-270	935.3
assemblyΩ1_10	UniRef100_E6SRX7~K00024	99.7	313	1	0	1	313	1	313	8.9e-169	597.8
assemblyΩ1_13	UniRef100_E6SRY0~K01993	93.6	328	21	0	1	328	1	328	6.5e-162	575.1
assemblyΩ1_14	UniRef100_E6SSG8~K01992	90.3	393	38	0	1	393	1	393	2.0e-202	709.9
assemblyΩ1_15	UniRef100_E6SSG9~K01992	88.3	410	48	0	1	410	1	410	5.4e-206	721.8
assemblyΩ1_20	UniRef100_A0A220SHL3~K21572	36.8	625	311	23	1	617	1	549	2.0e-84	318.5
assemblyΩ1_21	UniRef100_A0A0H4VLB0~K21573	31.4	1044	607	28	127	1102	19	1021	9.9e-114	416.8
assemblyΩ1_23	UniRef100_E6SSI6~K03088	69.4	173	53	0	4	176	4	176	3.8e-60	236.1
assemblyΩ1_27	UniRef100_E2NA28~K03593	92.3	366	28	0	1	366	12	377	6.0e-193	678.3
assemblyΩ1_28	UniRef100_Q8A0X7~K03439	89.3	252	27	0	1	252	1	252	9.1e-132	474.6
assemblyΩ1_29	UniRef100_E6SSJ1~K00826	97.0	338	10	0	1	338	1	338	1.2e-195	687.2
assemblyΩ1_30	UniRef100_A0A0P0G4Z9~K03602	88.7	71	8	0	1	71	1	71	4.0e-24	115.2
assemblyΩ1_31	UniRef100_E6SSJ3~K03601	83.6	409	67	0	1	409	1	409	5.6e-195	685.3
assemblyΩ1_33	UniRef100_A0A0N7IF32~K00566	87.7	358	44	0	7	364	1	358	6.3e-190	668.3
assemblyΩ1_40	UniRef100_D6D088~K21572	67.9	689	215	4	1	688	1	684	8.8e-278	961.1
assemblyΩ1_46	UniRef100_X5DJK5~K16044	44.7	349	187	3	2	349	3	346	2.6e-84	317.4
assemblyΩ1_49	UniRef100_A0A1D3UL96~K03088	61.3	194	74	1	1	193	1	194	1.1e-63	248.1
assemblyΩ1_50	UniRef100_A0A0P0EX04~K21573	33.2	1084	563	34	124	1154	29	1004	4.6e-130	471.1
assemblyΩ1_51	UniRef100_A0A1D3ULI7~K21572	58.7	521	207	3	1	515	1	519	1.3e-177	627.9
assemblyΩ1_53	UniRef100_A0A248WXI1~K05349	56.4	839	357	6	25	857	23	858	1.6e-273	947.2
assemblyΩ1_55	UniRef100_A0A0P0FNG1~K01770	90.6	159	15	0	1	159	1	159	6.3e-78	295.0
assemblyΩ1_56	UniRef100_A0A1U9NBK3~K16165	41.9	198	104	2	2	194	18	209	6.9e-37	159.1
assemblyΩ1_57	UniRef100_E6SSK0~K01926	90.3	217	21	0	2	218	4	220	1.6e-108	397.1
assemblyΩ1_58	UniRef100_E6SSK1~K03113	87.8	115	14	0	28	142	1	115	1.4e-52	210.7
assemblyΩ1_59	UniRef100_E6SSK2~K02357	96.4	330	12	0	1	330	1	330	2.4e-172	609.8
assemblyΩ1_60	UniRef100_E6SSK3~K02967	98.2	278	5	0	1	278	1	278	3.2e-146	522.7
assemblyΩ1_61	UniRef100_E6SSK4~K02996	98.4	128	2	0	1	128	1	128	1.3e-62	243.8
assemblyΩ1_62	UniRef100_E6SSK5~K02871	96.1	153	6	0	1	153	1	153	5.8e-81	305.1
assemblyΩ1_65	UniRef100_A0A0K6BYP3~K01893	95.3	467	22	0	1	467	1	467	1.6e-267	926.4
assemblyΩ1_66	UniRef100_E6SSK9~K06178	82.0	501	83	2	1	494	1	501	1.7e-161	574.3
assemblyΩ1_67	UniRef100_A0A0N7IF39~K01756	94.2	448	26	0	1	448	1	448	4.0e-247	858.6
assemblyΩ1_69	UniRef100_E6SSL3~K01955	96.6	1075	37	0	23	1097	1	1075	0.0e+00	2055.8
assemblyΩ1_81	UniRef100_E6ST85~K01867	95.9	364	15	0	1	364	1	364	1.1e-202	710.7
assemblyΩ1_82	UniRef100_E6ST86~K03572	85.6	645	84	4	1	637	1	644	0.0e+00	1082.0
assemblyΩ1_85	UniRef100_E6ST89~K03771	92.7	455	33	0	1	455	1	455	3.7e-240	835.5
assemblyΩ1_87	UniRef100_E6ST91~K03771	62.9	512	189	1	9	520	8	518	4.3e-184	649.4
assemblyΩ1_88	UniRef100_E6ST92~K00088	95.7	491	21	0	1	491	1	491	3.3e-263	912.1
assemblyΩ1_89	UniRef100_E6ST93~K03654	97.1	727	21	0	1	727	1	727	0.0e+00	1405.6
assemblyΩ1_90	UniRef100_E6ST94~K03544	94.2	413	24	0	1	413	1	413	1.1e-222	777.3
assemblyΩ1_91	UniRef100_A0A0P0GM69~K01358	99.1	220	2	0	1	220	1	220	2.7e-119	433.0
assemblyΩ1_92	UniRef100_E6ST96~K03545	89.3	450	48	0	1	450	1	450	7.4e-225	784.6
assemblyΩ1_95	UniRef100_A0A0P0FNL0~K06861	98.0	250	5	0	32	281	2	251	9.2e-133	478.0
assemblyΩ1_96	UniRef100_E6ST99~K02066	97.2	247	7	0	1	247	1	247	1.5e-126	457.2
assemblyΩ1_97	UniRef100_E6STA0~K02065	94.5	256	14	0	1	256	1	256	2.4e-135	486.5
assemblyΩ1_99	UniRef100_E6STA2~K03977	95.2	437	21	0	1	437	1	437	1.3e-239	833.6
assemblyΩ1_100	UniRef100_E6STA3~K03595	93.2	293	20	0	1	293	1	293	2.0e-154	550.1
assemblyΩ1_101	UniRef100_E6STA4~K00648	93.1	334	23	0	1	334	1	334	5.5e-185	651.7
assemblyΩ1_102	UniRef100_A0A174NK38~K02911	100.0	61	0	0	1	61	1	61	7.2e-30	134.0
assemblyΩ1_109	UniRef100_A0A0E3PS02~K07492	37.4	254	155	1	2	251	10	263	3.4e-46	190.3
assemblyΩ1_113	UniRef100_E8WRJ4~K07712	30.1	392	230	10	1	357	3	385	3.8e-29	134.4
